client_name,company_name,sales_rep_name,client_phone_permission,client_phone,client_email_permission,client_email
Adam Baker,Shelton and Sons,Michele Davis,True,+1-953-708-1654x6512          ,True,raymondrodriguez@example.org
Amber Scott,Thompson-Collins,Stephen Shah,True,+1-595-639-8795               ,True,vserrano@example.org
Amy Summers,Stevens-Fox,Mrs. Danielle Ortiz,True,(903)308-0626x1768            ,,michelle25@example.net
Andrea Wyatt,Johnson-Farley,Michelle Ferguson,True,667-606-3568                  ,True,brenda52@example.net
Andrew Ford,Shaw-Johnson,Kenneth Lucas,True,9718231707                    ,True,traci24@example.org
Angel Gonzalez,Perry-Sellers,Lauren Morales,False,+1-992-952-5180x438           ,False,jjohnson@example.com
Angela Henry,Jones-Davis,Melanie Bell,False,974-577-4293x12787            ,False,xwalters@example.com
Anna Walker,Schultz Inc,Jonathon Cox,False,939-801-6350x02927            ,False,david92@example.org
Anthony Johnson,Snyder PLC,Joseph Fox,True,+1-962-586-8498x79862         ,True,joseph64@example.net
Ashley Mccarty,Sanchez-Woodward,Loretta Clark,,(448)746-7818                 ,,barreravirginia@example.net
Brandy Jenkins,Rogers-Jones,Jose Mercer,,761-851-0125x425              ,,sandrawebb@example.org
Brittney Patterson,"Hernandez, Powers and Peterson",Brandon Williams,,001-792-512-8846              ,,tylerfisher@example.com
Carolyn Figueroa,Bowman Group,Heather Morales,,955-845-2343x7800             ,,mariahayes@example.net
Charles Rich,Johnson Inc,Joseph Fischer,,+1-746-507-8201               ,,julie19@example.com
Charles Stone,"Cox, Reyes and French",Beverly Bailey,,6337055754                    ,,michellepena@example.com
Christopher Parker,Patel and Sons,Krista Smith,,8976768477                    ,,jackson06@example.org
Crystal Gomez,Holmes-Jones,Lauren Ortiz,,+1-895-347-0896x570           ,,rubiodanielle@example.org
Cynthia Ayala,Jefferson Ltd,Michael Vega,,7952690539                    ,,ndavis@example.org
Dana Kramer,Paul PLC,Kara Webb,,001-844-292-5305x40525        ,,vanessaortega@example.net
Daniel Steele,"Carroll, Reynolds and Flores",Christopher Black,,8088438117                    ,,brookemoreno@example.org
Danielle Kaufman,Simon-Wilkerson,James Hogan,,001-736-582-4767x86623        ,,adamsgeorge@example.net
Danny Franco,Miller-Foster,Tina Coleman,,921-991-1590x542              ,,jonesjennifer@example.org
David Schmidt,Hendricks Group,Stephen Aguilar,,3703203946x9137               ,,james96@example.com
Dominique Armstrong,"Navarro, Young and Davis",Alexander Smith,,001-927-871-8036x4977         ,,caitlinwilliams@example.net
Dr. Barbara Richardson,Tapia Ltd,Nathan Clayton,,(404)260-4948x297             ,,lmoreno@example.com
